text,label
"Government announces new tax cuts for small businesses",real
"Scientists confirm water is dry in groundbreaking study",fake
"Local team wins championship after dramatic overtime victory",real
"Celebrities reveal secret pill that cures all diseases instantly",fake
"New policy increases minimum wage across the country",real
"Eating chocolate every hour guarantees you will live to 150",fake
"University researchers develop efficient solar panel technology",real
"Drinking only air for a week boosts IQ by 50 points",fake
"City council approves plan for new public park downtown",real
"Moon made of cheese, astronauts bring back slices",fake
"Hospitals report success with new cancer screening program",real
"Time travelers warn of alien takeover scheduled next Tuesday",fake
"Farmers adopt eco-friendly irrigation to save water",real
"Phones now charge faster when placed in the freezer",fake
"National literacy rates improve after education reform",real
"Invisible sunscreen discovered that also makes you fly",fake